Page,Product Name,Current Price,Original Price,Discount,Rating Score,Ratings Count,Reviews Count,Highlights
1,Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey,"₹14,490","₹19,550",25% off,4.1,46397,2890,740 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor
1,"Samsung 9 kg 5 star, Ecobubble, Wi-Fi, Digital Inverter, Fully Automatic Top Load Washing Machine Grey","₹23,490","₹30,500",22% off,4.3,104648,6680,"700 rpm Max Speed | 5 Star Rating | 2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
1,"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black","₹7,890","₹12,490",36% off,4.2,94783,8182,1400 RPM Max Speed | 5 Star Rating | 2 Years Warranty on Product and 05 Years Special Warranty on Wash Motor
1,"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey","₹8,290","₹13,990",40% off,4.2,94783,8182,1400 RPM Max Speed | 5 Star Rating | 2 Years Warranty on Product and 05 Years Special Warranty on Wash Motor
1,"MarQ by Flipkart 7 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine Blue, White","₹7,390","₹13,990",47% off,4.3,62042,6102,1350 rpm Max Speed | 5 Star Rating | 2 Years Warranty on Product and 05 Years Special Warranty on Wash Motor
1,Whirlpool 8 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹17,990","₹23,700",24% off,4.1,46397,2890,740 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product and 10 Years Additional Warranty on Motor
1,"Whirlpool 8.5 kg 5 Star with Auto Restart, End of Cycle Buzzer, Lint Filter and Collar Scrubber Semi A...","₹12,490","₹17,500",28% off,4.4,41641,2713,1400 rpm Max Speed | 5 Star Rating | 4 Years Comprehensive warranty on Product 10 Years on wash motor 4 Years on Spin motor
1,"Godrej 7 kg Zero Pressure Technology Fills Tub 60% Faster, Fabrisafe Steel Drum Fully Automatic Top Lo...","₹13,990","₹27,300",48% off,4.2,9824,678,720 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor
1,"Samsung 8 kg Semi Automatic Top Load Washing Machine Black, Grey","₹11,990","₹15,990",25% off,4.4,37700,2362,"1300 RPM Max Speed | 5 Star Rating | 2 years comprehensive on product,5 Year Warranty on Wash Motor(T&C Apply)"
1,"Haier 6.5 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Au...","₹12,490","₹18,990",34% off,4.3,71997,8065,800 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier
